model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,_merge
AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,22.0,31.0,26.0,5.0,No,both
AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5.0,No,both
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6,no,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5.0,25.0,34.0,28.0,6.0,No,both
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6,no,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,22.0,31.0,26.0,5.0,No,both
AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6,no,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5.0,No,both
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,AUDI A6,2.0,4.0,AMS-7,2WD,Gasoline,midsize car,5.0,25.0,34.0,28.0,6.0,No,both
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,AUDI A6,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,22.0,31.0,26.0,5.0,No,both
AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,AUDI A6,3.0,6.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,20.0,29.0,23.0,5.0,No,both
AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6,no,,,,,,,,,,,,,,left_only
AUDI A8,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,23.0,18.0,5,no,,,,,,,,,,,,,,left_only
AUDI A8 L,4.2,8,Auto-S6,4WD,Gasoline,large car,6.0,16.0,23.0,18.0,5,no,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3.0,19.0,29.0,22.0,4.0,No,both
AUDI A8 L,6.0,12,Auto-S6,4WD,Gasoline,large car,6.0,13.0,19.0,15.0,3,no,AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,large car,3.0,19.0,29.0,22.0,4.0,No,both
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4,no,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No,both
AUDI Q7,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4,no,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No,both
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No,both
AUDI Q7,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,19.0,25.0,21.0,4.0,No,both
AUDI R8,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI R8,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI RS4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI RS4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,,,,,,,,,,,,,,left_only
AUDI S4,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,20.0,15.0,3,no,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,21.0,30.0,24.0,5.0,No,both
AUDI S4,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4,no,AUDI S4,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,21.0,30.0,24.0,5.0,No,both
AUDI S4 Avant,4.2,8,Man-6,4WD,Gasoline,station wagon,6.0,13.0,20.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI S4 Avant,4.2,8,Auto-S6,4WD,Gasoline,station wagon,6.0,14.0,21.0,16.0,4,no,,,,,,,,,,,,,,left_only
AUDI S4 Cabriolet,4.2,8,Man-6,4WD,Gasoline,small car,6.0,13.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI S4 Cabriolet,4.2,8,Auto-S6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4,no,,,,,,,,,,,,,,left_only
AUDI S5,4.2,8,Man-6,4WD,Gasoline,small car,6.0,14.0,21.0,16.0,4,no,AUDI S5,3.0,6.0,AMS-8,4WD,Gasoline,small car,5.0,21.0,30.0,24.0,5.0,No,both
AUDI S6,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6.0,14.0,19.0,16.0,4,no,,,,,,,,,,,,,,left_only
AUDI S8,5.2,10,Auto-S6,4WD,Gasoline,midsize car,6.0,13.0,19.0,15.0,3,no,,,,,,,,,,,,,,left_only
AUDI TT Coupe,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,26.0,8,yes,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
AUDI TT Coupe,3.2,6,Man-6,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5,no,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
AUDI TT Coupe,3.2,6,Auto-S6,4WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,AUDI TT Coupe,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
AUDI TT Roadster,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7,yes,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
AUDI TT Roadster,3.2,6,Man-6,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5,no,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
AUDI TT Roadster,3.2,6,Auto-S6,4WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,AUDI TT Roadster,2.0,4.0,AMS-6,4WD,Gasoline,small car,7.0,23.0,30.0,26.0,5.0,No,both
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,large car,6.0,9.0,15.0,11.0,0,no,,,,,,,,,,,,,,left_only
BENTLEY Arnage,6.7,8,Auto-S6,2WD,Gasoline,midsize car,6.0,10.0,15.0,11.0,0,no,,,,,,,,,,,,,,left_only
BENTLEY Azure,6.7,8,Auto-S6,2WD,Gasoline,small car,6.0,9.0,15.0,11.0,0,no,,,,,,,,,,,,,,left_only
BENTLEY Continental Flying Spur,6.0,12,Auto-S6,4WD,Gasoline,midsize car,6.0,10.0,17.0,12.0,0,no,,,,,,,,,,,,,,left_only
BENTLEY Continental GT,6.0,12,Auto-S6,4WD,Gasoline,small car,6.0,10.0,17.0,13.0,1,no,,,,,,,,,,,,,,left_only
BENTLEY Continental GTC,6.0,12,Auto-S6,4WD,Gasoline,small car,6.0,10.0,17.0,12.0,0,no,,,,,,,,,,,,,,left_only
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328ci,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328ci,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,9.5,19.0,29.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,7.0,19.0,29.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328cxi,3.0,6,Man-6,4WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,7.0,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,9.5,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,9.5,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328i,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328i,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328i Sport Wagon,3.0,6,Man-6,2WD,Gasoline,station wagon,7.0,19.0,29.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,9.5,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328xi,3.0,6,Man-6,4WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328xi,3.0,6,Auto-S6,4WD,Gasoline,small car,7.0,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 328xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,station wagon,7.0,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 328xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,station wagon,7.0,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 335ci,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 335ci,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 335ci Convertible,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 335ci Convertible,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 335cxi,3.0,6,Man-6,4WD,Gasoline,small car,6.0,18.0,27.0,21.0,6,no,,,,,,,,,,,,,,left_only
BMW 335cxi,3.0,6,Auto-S6,4WD,Gasoline,small car,6.0,19.0,27.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 335i,3.0,6,Man-6,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 335i,3.0,6,Auto-S6,2WD,Gasoline,small car,6.0,20.0,28.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 335xi,3.0,6,Man-6,4WD,Gasoline,small car,6.0,18.0,27.0,21.0,6,no,,,,,,,,,,,,,,left_only
BMW 335xi,3.0,6,Auto-S6,4WD,Gasoline,small car,6.0,19.0,27.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 528i,3.0,6,Auto-S6,2WD,Gasoline,midsize car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 528i,3.0,6,Man-6,2WD,Gasoline,midsize car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW 528xi,3.0,6,Man-6,4WD,Gasoline,midsize car,7.0,19.0,28.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW 528xi,3.0,6,Auto-S6,4WD,Gasoline,midsize car,7.0,20.0,27.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 535i,3.0,6,Man-6,2WD,Gasoline,midsize car,6.0,19.0,28.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 535i,3.0,6,Auto-S6,2WD,Gasoline,midsize car,6.0,20.0,28.0,23.0,7,yes,,,,,,,,,,,,,,left_only
BMW 535xi,3.0,6,Man-6,4WD,Gasoline,midsize car,6.0,18.0,27.0,21.0,6,no,,,,,,,,,,,,,,left_only
BMW 535xi,3.0,6,Auto-S6,4WD,Gasoline,midsize car,6.0,19.0,27.0,22.0,6,no,,,,,,,,,,,,,,left_only
BMW 535xi Sport Wagon,3.0,6,Man-6,4WD,Gasoline,station wagon,6.0,17.0,25.0,20.0,6,no,,,,,,,,,,,,,,left_only
BMW 535xi Sport Wagon,3.0,6,Auto-S6,4WD,Gasoline,station wagon,6.0,18.0,26.0,21.0,6,no,,,,,,,,,,,,,,left_only
BMW 550i,4.8,8,Man-6,2WD,Gasoline,midsize car,7.0,17.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
BMW 550i,4.8,8,Auto-S6,2WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,,,,,,,,,,,,,,left_only
BMW 650ci,4.8,8,Man-6,2WD,Gasoline,small car,7.0,17.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
BMW 650ci,4.8,8,Auto-S6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,,,,,,,,,,,,,,left_only
BMW 650ci Convertible,4.8,8,Man-6,2WD,Gasoline,small car,7.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
BMW 650ci Convertible,4.8,8,Auto-S6,2WD,Gasoline,small car,7.0,17.0,25.0,20.0,6,yes,,,,,,,,,,,,,,left_only
BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,large car,7.0,17.0,25.0,20.0,6,yes,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,large car,3.0,17.0,25.0,20.0,4.0,No,both
BMW 750i,4.8,8,Auto-S6,2WD,Gasoline,large car,7.0,17.0,25.0,20.0,6,yes,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
BMW 750li,4.8,8,Auto-S6,2WD,Gasoline,large car,7.0,17.0,25.0,20.0,6,yes,,,,,,,,,,,,,,left_only
BMW 760li,6.0,12,Auto-S6,2WD,Gasoline,large car,6.0,14.0,22.0,17.0,4,no,,,,,,,,,,,,,,left_only
BMW Alpina B7,4.4,8,Auto-S6,2WD,Gasoline,large car,6.0,15.0,23.0,18.0,5,no,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,large car,3.0,16.0,25.0,19.0,3.0,No,both
BMW M5,5.0,10,Man-6,2WD,Gasoline,midsize car,6.0,12.0,18.0,14.0,2,no,,,,,,,,,,,,,,left_only
BMW M5,5.0,10,Auto-S7,2WD,Gasoline,midsize car,6.0,12.0,18.0,14.0,2,no,,,,,,,,,,,,,,left_only
BMW M6,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,,,,,,,,,,,,,,left_only
BMW M6,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,,,,,,,,,,,,,,left_only
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,small car,1.0,14.0,20.0,16.0,2.0,No,both
BMW M6 Convertible,5.0,10,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,BMW M6 Convertible,4.4,8.0,Man-6,2WD,Gasoline,small car,1.0,15.0,22.0,17.0,3.0,No,both
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,small car,1.0,14.0,20.0,16.0,2.0,No,both
BMW M6 Convertible,5.0,10,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,BMW M6 Convertible,4.4,8.0,Man-6,2WD,Gasoline,small car,1.0,15.0,22.0,17.0,3.0,No,both
BMW X3,3.0,6,Man-6,4WD,Gasoline,SUV,7.0,18.0,26.0,21.0,6,yes,,,,,,,,,,,,,,left_only
BMW X3,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,19.0,26.0,22.0,6,yes,,,,,,,,,,,,,,left_only
BMW X5,3.0,6,Auto-S6,4WD,Gasoline,SUV,7.0,17.0,23.0,19.0,5,no,,,,,,,,,,,,,,left_only
BMW X5,4.8,8,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,,,,,,,,,,,,,,left_only
BMW Z4,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW Z4,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BMW Z4 Coupe,3.0,6,Man-6,2WD,Gasoline,small car,7.0,20.0,30.0,24.0,7,yes,,,,,,,,,,,,,,left_only
BMW Z4 Coupe,3.0,6,Auto-S6,2WD,Gasoline,small car,7.0,23.0,31.0,25.0,7,yes,,,,,,,,,,,,,,left_only
BUGATTI Veyron,8.0,16,Auto-S6,4WD,Gasoline,small car,6.0,8.0,14.0,10.0,0,no,,,,,,,,,,,,,,left_only
BUICK Allure,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6,yes,,,,,,,,,,,,,,left_only
BUICK Allure,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,,,,,,,,,,,,,,left_only
BUICK Allure,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,,,,,,,,,,,,,,left_only
BUICK Enclave,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,,,,,,,,,,,,,,left_only
BUICK Enclave,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,,,,,,,,,,,,,,left_only
BUICK LaCrosse,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,17.0,28.0,21.0,6,yes,,,,,,,,,,,,,,left_only
BUICK LaCrosse,3.6,6,Auto-L4,2WD,Gasoline,midsize car,6.0,17.0,25.0,20.0,6,no,,,,,,,,,,,,,,left_only
BUICK LaCrosse,5.3,8,Auto-L4,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,,,,,,,,,,,,,,left_only
BUICK Lucerne,3.8,6,Auto-L4,2WD,Gasoline,large car,9.5,16.0,25.0,19.0,5,no,,,,,,,,,,,,,,left_only
BUICK Terraza,3.9,6,Auto-L4,2WD,Gasoline,minivan,6.0,16.0,23.0,19.0,5,no,,,,,,,,,,,,,,left_only
CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,CADILLAC CTS,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,30.0,25.0,5.0,No,both
CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,CADILLAC CTS,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,21.0,29.0,24.0,5.0,No,both
CADILLAC CTS,3.6,6,Man-6,2WD,Gasoline,midsize car,6.0,16.0,25.0,19.0,5,no,CADILLAC CTS,3.6,6.0,SemiAuto-8,2WD,Gasoline,midsize car,3.0,16.0,24.0,19.0,3.0,No,both
